Term	Notes	English	Chinese (Simplified)	Chinese (Traditional)	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Japanese	Korean	Ukrainian	Russian
sausagefestmod_blood_name		Blood	Blood	Blood	Bloed	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood	Blood
sausagefestmod_blood_description		Thicker than water	Thicker than water	Thicker than water	Dikker dan water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water	Thicker than water
sausagefestmod_idea_blood_status		Gilding a blood...	Gilding a blood...	Gilding a blood...	Vergulden van bloed...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...	Gilding a blood...
sausagefestmod_organ_meat_name		Organ Meat	Organ Meat	Organ Meat	Orgaanvlees	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat	Organ Meat
sausagefestmod_organ_meat_description		Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Natuur's taaie, ongekruide gummybeertjes...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...	Nature's chewy, unseasoned gummy bears...
sausagefestmod_idea_organ_meat_status		Creating organ meat...	Creating organ meat...	Creating organ meat...	Orgaanvlees maken...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...	Creating organ meat...
sausagefestmod_raw_sausage_name		Raw Sausage	Raw Sausage	Raw Sausage	Rauwe worst	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage	Raw Sausage
sausagefestmod_raw_sausage_description		The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	De vleessmoothie van de slagerswereld!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!	The meat smoothie of the butcher world!
sausagefestmod_raw_sausage_status		Grinding sausage...	Grinding sausage...	Grinding sausage...	Worst malen...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...	Grinding sausage...
sausagefestmod_raw_blood_sausage_name		Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Rauwe bloedworst	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage	Raw Blood Sausage
sausagefestmod_raw_blood_sausage_description		The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	De vleessmoothie van de slagerswereld! Extra bloedig!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!	The meat smoothie of the butcher world! Extra bloody!
sausagefestmod_raw_blood_sausage_status		Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Bloedworst malen...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...	Grinding blood sausage...
sausagefestmod_cooked_sausage_name		Cooked Sausage	Cooked Sausage	Cooked Sausage	Gebakken worst	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage	Cooked Sausage
